date,exchange_rate
2022-01-09,41864.44
2022-01-12,43926
2022-01-15,43146.53
2022-01-18,42381.48
2022-01-21,36480.85
2022-01-24,36678.82
2022-01-27,37146.85
2022-01-30,37918.62
2022-02-02,36912.68
2022-02-05,41435.43
2022-02-08,44133.28
2022-02-11,42401.27
2022-02-14,42580.94
2022-02-17,40565.69
2022-02-20,38382.32
2022-02-23,37291.48
2022-02-26,39103.91
2022-03-01,44418.83
2022-03-04,39141.25
2022-03-07,38032.5
2022-03-10,39437.89
2022-03-13,37820.39
2022-03-16,41133.08
2022-03-19,42222.32
2022-03-22,42372.67
2022-03-25,44334.33
2022-03-29,47115.93
